zone,district,fiscal_year,month,diversion_rate_total,capture_rate_total,capture_dispersion_ratio
Manhattan,MN09,2019,February,18.4,52.6,2.8586956521739135
Manhattan,MN10,2019,February,14.5,45.9,3.1655172413793102
Manhattan,MN11,2019,February,11.4,35.3,3.096491228070175
Manhattan,MN12,2019,February,16.5,50.1,3.0363636363636366
Queens East,QE07,2019,February,20.4,53.4,2.6176470588235294
Queens East,QE08,2019,February,17.5,35.9,2.051428571428571
Queens East,QE10,2019,February,19.7,48.5,2.4619289340101522
Queens East,QE11,2019,February,24.8,59.8,2.411290322580645
Queens East,QE12,2019,February,14.7,47.5,3.231292517006803
Queens East,QE13,2019,February,21.2,49.3,2.3254716981132075
Queens East,QE14,2019,February,13.2,33.9,2.5681818181818183
Queens West,QW01,2019,February,20.2,56.5,2.7970297029702973
Queens West,QW02,2019,February,21.7,56.1,2.5852534562211984
Queens West,QW03,2019,February,14.8,41.5,2.804054054054054
Queens West,QW04,2019,February,15.3,42.8,2.7973856209150325
Queens West,QW05,2019,February,24.3,59.9,2.4650205761316872
Queens West,QW06,2019,February,21.2,40.5,1.9103773584905661
Queens West,QW09,2019,February,22.1,52.6,2.3800904977375565
Staten Island,SI01,2019,February,19.6,48.9,2.4948979591836733
Staten Island,SI02,2019,February,20.6,51.2,2.4854368932038833
