zone,district,fiscal_year,month,diversion_rate_total,capture_rate_total,capture_dispersion_ratio
Brooklyn South,BKS10,2019,September,24.2,64.7,2.6735537190082646
Brooklyn South,BKS11,2019,September,18.8,54.6,2.904255319148936
Brooklyn South,BKS12,2019,September,16,50.3,3.14375
Brooklyn South,BKS13,2019,September,14.8,45.9,3.1013513513513513
Brooklyn South,BKS14,2019,September,15.1,43.5,2.8807947019867552
Brooklyn South,BKS15,2019,September,19.7,56.8,2.8832487309644668
Brooklyn South,BKS18,2019,September,15.1,43.7,2.894039735099338
Bronx,BX01,2019,September,7.1,23.2,3.267605633802817
Bronx,BX02,2019,September,13.4,43.9,3.2761194029850746
Bronx,BX03,2019,September,9.3,30.4,3.268817204301075
Bronx,BX04,2019,September,12.1,38.9,3.2148760330578514
Bronx,BX05,2019,September,11.1,36.6,3.2972972972972974
Bronx,BX06,2019,September,14.1,40.9,2.900709219858156
Bronx,BX07,2019,September,14.5,47.7,3.2896551724137932
Bronx,BX08,2019,September,21.5,57.7,2.683720930232558
Bronx,BX09,2019,September,9.8,32.8,3.3469387755102034
Bronx,BX10,2019,September,20.7,55.9,2.7004830917874396
Bronx,BX11,2019,September,16.8,45.4,2.702380952380952
Bronx,BX12,2019,September,20.4,52.1,2.5539215686274512
Manhattan,MN01,2019,September,27.9,53.2,1.9068100358422941
Manhattan,MN02,2019,September,27.1,51.3,1.8929889298892988
Manhattan,MN03,2019,September,14.7,44,2.993197278911565
Manhattan,MN04,2019,September,23,43.1,1.873913043478261
Manhattan,MN05,2019,September,20.9,40.5,1.9377990430622012
Manhattan,MN06,2019,September,23.7,44.9,1.8945147679324894
Manhattan,MN07,2019,September,27.3,51.3,1.8791208791208789
Manhattan,MN08,2019,September,26.9,51.8,1.9256505576208178
Manhattan,MN09,2019,September,18.7,54.9,2.935828877005348
Manhattan,MN10,2019,September,14.4,46.3,3.2152777777777777
Manhattan,MN11,2019,September,11.7,36.6,3.1282051282051286
Manhattan,MN12,2019,September,16.3,50.6,3.104294478527607
Queens East,QE07,2019,September,20.3,56.6,2.7881773399014778
Queens East,QE08,2019,September,17.2,34.7,2.0174418604651163
Queens East,QE10,2019,September,19.5,52.1,2.671794871794872
Queens East,QE11,2019,September,24.4,63.2,2.5901639344262297
Queens East,QE12,2019,September,14,49.6,3.542857142857143
Queens East,QE13,2019,September,22.9,50.5,2.2052401746724892
Queens East,QE14,2019,September,14.5,39.1,2.6965517241379313
Queens West,QW01,2019,September,20,62.1,3.105
Queens West,QW02,2019,September,21.7,62.3,2.870967741935484
Queens West,QW03,2019,September,14.6,45.4,3.1095890410958904
Queens West,QW04,2019,September,15.3,47.6,3.111111111111111
Queens West,QW05,2019,September,23.8,64.5,2.710084033613445
Queens West,QW06,2019,September,20.9,40.5,1.9377990430622012
Queens West,QW09,2019,September,22.4,56.6,2.5267857142857144
Staten Island,SI01,2019,September,20.4,52,2.5490196078431375
Staten Island,SI02,2019,September,19.5,54.1,2.7743589743589743
Staten Island,SI03,2019,September,20.7,58.9,2.845410628019324
